"Jahr","QuarSort","QuarLang","GbdArt1","GbdArt1n","AnzGeb","Rauminhalt","PersonenGT2","AnzWhg","WohnFl","PersInWhgGT2","KreisSort","KreisLang","GbdArt2","GbdArt2n","GbdArtPub","GbdArtPubName"
2008,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2009,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2010,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2011,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2012,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2013,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2014,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2015,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2016,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2017,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2018,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2019,11,"Rathaus",110.1,"Einfamilienhaus freistehend",2,3501,11,2,428,11,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2008,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,46,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2009,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,50,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2010,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,45,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2011,11,"Rathaus",110.2,"Einfamilienhaus angebaut",21,16136,47,21,3279,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2012,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,17903,51,22,3519,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2013,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,15196,51,22,3429,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2014,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,15171,52,22,3429,51,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2015,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15790,50,24,3723,48,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2016,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15817,55,24,3723,55,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2017,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15817,53,24,3723,53,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2018,11,"Rathaus",110.2,"Einfamilienhaus angebaut",26,17311,58,26,4035,57,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2019,11,"Rathaus",110.2,"Einfamilienhaus angebaut",25,17389,51,25,4060,50,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2008,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",12,25129,56,24,2484,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2009,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",12,25129,55,24,2484,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2010,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",11,24003,50,22,2366,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2011,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",6,5673,22,12,1184,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2012,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5064,14,10,1019,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2013,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,14,10,1019,".",1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2014,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,14,10,1019,14,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2015,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,18,10,1019,18,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2016,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,18,10,833,18,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2017,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,18,10,833,18,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2018,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",5,5086,18,10,833,18,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2019,11,"Rathaus",121.1,"Mehrfamilienhaus mit 2 Wohnungen",6,6996,23,12,1095,23,1,"Kreis 1",121,"Gebäude mit 2 Wohnungen",2,"Mehrfamilienhäuser"
2008,11,"Rathaus",122.1,"Mehrfamilienhaus",32,60223,200,199,10096,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2009,11,"Rathaus",122.1,"Mehrfamilienhaus",31,56354,180,177,8951,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2010,11,"Rathaus",122.1,"Mehrfamilienhaus",32,57724,189,183,9282,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2011,11,"Rathaus",122.1,"Mehrfamilienhaus",31,52556,196,158,9695,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2012,11,"Rathaus",122.1,"Mehrfamilienhaus",30,50794,186,153,9316,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2013,11,"Rathaus",122.1,"Mehrfamilienhaus",29,50225,187,150,9005,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2014,11,"Rathaus",122.1,"Mehrfamilienhaus",29,50936,179,150,9005,177,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2015,11,"Rathaus",122.1,"Mehrfamilienhaus",29,50583,162,150,9129,160,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2016,11,"Rathaus",122.1,"Mehrfamilienhaus",30,52807,198,160,9978,197,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2017,11,"Rathaus",122.1,"Mehrfamilienhaus",31,54439,198,164,10278,198,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2018,11,"Rathaus",122.1,"Mehrfamilienhaus",30,52684,195,158,10008,193,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2019,11,"Rathaus",122.1,"Mehrfamilienhaus",30,50259,198,161,9685,194,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2008,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",366,985198,2366,1929,121040,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2009,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",367,950107,2431,1923,122498,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2010,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",368,949553,2438,1923,123260,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2011,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",367,941068,2459,1878,122387,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2012,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",372,948761,2480,1905,124217,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2013,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",372,948930,2501,1922,125374,".",1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2014,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",373,958675,2559,1939,126510,2481,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2015,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",372,959781,2531,1920,125810,2468,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2016,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",371,956549,2508,1914,125145,2468,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2017,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",372,960765,2551,1920,125580,2490,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2018,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",372,964698,2557,1929,126278,2491,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2019,11,"Rathaus",122.2,"Wohnhaus mit Geschäftsräumen",369,956069,2582,1906,126270,2516,1,"Kreis 1",122,"Gebäude mit mehr als 2 Wohnungen",2,"Mehrfamilienhäuser"
2008,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",2,5575,28,0,0,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2009,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",2,5575,29,0,0,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2010,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",1,2190,19,0,0,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2011,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",6,9201,62,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2012,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",6,9201,82,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2013,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",6,9201,76,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2014,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",6,9201,73,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2015,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",7,15446,111,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2016,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",7,15446,136,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2017,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",7,15446,137,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2018,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",7,15446,132,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2019,11,"Rathaus",130.1,"Wohngebäude für Gemeinschaften",7,15446,131,2,36,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2008,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,12,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2009,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,12,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2010,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,12,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2011,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,11,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2012,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,11,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2013,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,11,11,550,".",1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2014,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,10,11,550,10,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2015,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,9,11,550,9,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2016,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,11,11,550,11,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2017,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,10,11,550,10,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2018,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,10,11,550,10,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2019,11,"Rathaus",130.2,"Alterswohnhaus-/heim",1,7846,10,11,550,10,1,"Kreis 1",130,"Wohngebäude für Gemeinschaften",3,"Spezielle Wohngebäude"
2008,11,"Rathaus",211.1,"Hotel",27,129397,42,6,431,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",211.1,"Hotel",28,131087,49,9,554,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",211.1,"Hotel",28,131967,51,7,442,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",211.1,"Hotel",29,145062,48,7,390,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",211.1,"Hotel",29,145272,46,7,390,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",211.1,"Hotel",29,145272,42,7,390,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",211.1,"Hotel",27,128672,40,2,111,3,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",211.1,"Hotel",27,129272,45,2,111,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",211.1,"Hotel",26,125972,47,1,35,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",211.1,"Hotel",26,125972,40,1,35,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",211.1,"Hotel",26,126132,45,1,35,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2019,11,"Rathaus",211.1,"Hotel",26,126132,39,1,35,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2008,11,"Rathaus",211.2,"Restaurant",18,51621,53,9,704,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",211.2,"Restaurant",18,52196,55,9,704,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",211.2,"Restaurant",19,58244,57,7,444,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",211.2,"Restaurant",18,56026,56,15,1152,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",211.2,"Restaurant",16,51536,43,13,1076,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",211.2,"Restaurant",14,46371,32,12,986,".",1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",211.2,"Restaurant",14,46371,34,12,986,25,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",211.2,"Restaurant",11,35279,29,7,582,20,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",211.2,"Restaurant",11,35279,19,7,582,15,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",211.2,"Restaurant",11,35279,25,7,582,16,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",211.2,"Restaurant",12,36802,17,7,582,9,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2019,11,"Rathaus",211.2,"Restaurant",12,36126,21,7,582,14,1,"Kreis 1",211,"Hotelgebäude",4,"Kommerzielle Gebäude"
2008,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",3,6582,9,1,56,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",3,6582,9,1,56,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",3,6582,5,1,56,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,4420,".",2,112,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,4420,".",2,112,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,4420,".",2,112,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",1,3455,".",0,0,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",1,3455,".",0,0,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,6755,15,18,360,".",1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,6755,15,18,360,7,1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",2,6755,15,18,360,10,1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2019,11,"Rathaus",212.1,"Andere Gebäude für kurzfristige Beherbergung",3,12620,19,34,680,13,1,"Kreis 1",212,"Andere Gebäude für kurzfristige Beherbergung",4,"Kommerzielle Gebäude"
2008,11,"Rathaus",220.1,"Geschäftshaus",119,523666,149,81,6684,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",220.1,"Geschäftshaus",119,565431,151,87,7878,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",220.1,"Geschäftshaus",118,578238,136,90,8243,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",220.1,"Geschäftshaus",122,599761,158,117,10830,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",220.1,"Geschäftshaus",122,600893,163,117,10751,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",220.1,"Geschäftshaus",123,605249,178,121,10897,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",220.1,"Geschäftshaus",124,609230,198,126,11282,161,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",220.1,"Geschäftshaus",127,615338,205,132,11893,166,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",220.1,"Geschäftshaus",127,617381,183,124,11435,157,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",220.1,"Geschäftshaus",128,620879,185,129,11667,162,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",220.1,"Geschäftshaus",128,619017,189,133,12146,162,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2019,11,"Rathaus",220.1,"Geschäftshaus",128,620043,192,136,12232,161,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2008,11,"Rathaus",220.2,"Bürogebäude",29,144365,19,13,979,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",220.2,"Bürogebäude",29,144365,19,13,1043,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",220.2,"Bürogebäude",28,130439,21,12,983,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",220.2,"Bürogebäude",29,146266,16,11,912,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",220.2,"Bürogebäude",28,145026,16,11,912,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",220.2,"Bürogebäude",28,141622,22,11,912,".",1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",220.2,"Bürogebäude",27,141702,14,11,901,14,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",220.2,"Bürogebäude",27,143814,15,11,986,15,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",220.2,"Bürogebäude",27,144369,14,11,986,14,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",220.2,"Bürogebäude",26,142739,9,9,876,9,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",220.2,"Bürogebäude",25,141629,10,8,775,10,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2019,11,"Rathaus",220.2,"Bürogebäude",25,141993,9,8,775,9,1,"Kreis 1",220,"Bürogebäude",4,"Kommerzielle Gebäude"
2008,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",17,8467,5,3,582,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2009,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",17,8467,6,3,582,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2010,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",22,9805,7,3,582,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2011,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9145,".",2,402,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2012,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9205,".",2,402,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2013,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9206,".",2,402,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2014,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9336,".",2,273,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2015,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9206,".",2,273,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2016,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",21,9211,".",2,273,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2017,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",22,9226,".",2,273,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
2018,11,"Rathaus",230.1,"Gross- und Einzelhandelsgebäude",22,9226,".",2,273,".",1,"Kreis 1",230,"Gross- und Einzelhandelsgebäude",4,"Kommerzielle Gebäude"
