"Sprache","QuarSort","QuarLang","AnzBev","untAnzBevKI","obAnzBevKI"
"Italienisch",63,"Oberstrass",450,350,550
"Italienisch",71,"Fluntern",280,210,360
"Italienisch",72,"Hottingen",420,330,510
"Italienisch",73,"Hirslanden",310,220,400
"Italienisch",74,"Witikon",420,330,500
"Italienisch",81,"Seefeld",220,140,290
"Italienisch",82,"Mühlebach",300,210,390
"Italienisch",83,"Weinegg",280,200,360
"Italienisch",91,"Albisrieden",1600,1420,1770
"Italienisch",92,"Altstetten",2460,2230,2680
"Italienisch",101,"Höngg",1000,860,1140
"Italienisch",102,"Wipkingen",700,570,820
"Italienisch",111,"Affoltern",1750,1570,1930
"Italienisch",115,"Oerlikon",1670,1480,1860
"Italienisch",119,"Seebach",1450,1270,1620
"Italienisch",121,"Saatlen",560,460,650
"Italienisch",122,"Schwamendingen-Mitte",660,550,780
"Italienisch",123,"Hirzenbach",870,740,1010
