"RaumSort","RaumLang","Bildungsstand","AntBev","untAntBevKI","obAntBevKI"
82,"Mühlebach","Obligatorische Schule",7.6,5.5,9.7
82,"Mühlebach","Sekundarstufe II",25.7,22.2,29.1
82,"Mühlebach","Tertiärstufe",66.7,63,70.5
83,"Weinegg","Obligatorische Schule",10.6,7.7,13.5
83,"Weinegg","Sekundarstufe II",27.2,23.1,31.3
83,"Weinegg","Tertiärstufe",62.2,57.7,66.7
90,"Kreis 9","Obligatorische Schule",21.5,20.3,22.6
90,"Kreis 9","Sekundarstufe II",39.6,38.3,41
90,"Kreis 9","Tertiärstufe",38.9,37.6,40.3
91,"Albisrieden","Obligatorische Schule",17.1,15.5,18.8
91,"Albisrieden","Sekundarstufe II",37.7,35.6,39.8
91,"Albisrieden","Tertiärstufe",45.2,43,47.4
92,"Altstetten","Obligatorische Schule",24.4,22.8,25.9
92,"Altstetten","Sekundarstufe II",40.9,39.1,42.7
92,"Altstetten","Tertiärstufe",34.7,33,36.4
100,"Kreis 10","Obligatorische Schule",12.1,11,13.1
100,"Kreis 10","Sekundarstufe II",35.5,34,37
100,"Kreis 10","Tertiärstufe",52.5,50.8,54.1
101,"Höngg","Obligatorische Schule",11.9,10.6,13.3
101,"Höngg","Sekundarstufe II",39.3,37.3,41.4
101,"Höngg","Tertiärstufe",48.8,46.7,50.8
102,"Wipkingen","Obligatorische Schule",12.2,10.6,13.9
102,"Wipkingen","Sekundarstufe II",30,27.7,32.4
102,"Wipkingen","Tertiärstufe",57.7,55.2,60.2
110,"Kreis 11","Obligatorische Schule",21.1,20.1,22.1
110,"Kreis 11","Sekundarstufe II",36.3,35.1,37.5
110,"Kreis 11","Tertiärstufe",42.6,41.4,43.9
111,"Affoltern","Obligatorische Schule",23.2,21.5,24.9
111,"Affoltern","Sekundarstufe II",41.2,39.2,43.1
111,"Affoltern","Tertiärstufe",35.7,33.7,37.6
115,"Oerlikon","Obligatorische Schule",15.4,13.8,17
115,"Oerlikon","Sekundarstufe II",29.9,27.9,31.9
115,"Oerlikon","Tertiärstufe",54.7,52.5,56.9
119,"Seebach","Obligatorische Schule",24.1,22.3,25.9
119,"Seebach","Sekundarstufe II",37.1,35.1,39.1
119,"Seebach","Tertiärstufe",38.8,36.7,40.9
120,"Kreis 12","Obligatorische Schule",30.9,29.1,32.7
120,"Kreis 12","Sekundarstufe II",39.5,37.6,41.3
120,"Kreis 12","Tertiärstufe",29.6,27.9,31.4
121,"Saatlen","Obligatorische Schule",32.9,29.5,36.3
121,"Saatlen","Sekundarstufe II",38,34.5,41.6
121,"Saatlen","Tertiärstufe",29,25.7,32.4
122,"Schwamendingen-Mitte","Obligatorische Schule",29.4,26.5,32.3
122,"Schwamendingen-Mitte","Sekundarstufe II",38.1,35,41.1
122,"Schwamendingen-Mitte","Tertiärstufe",32.5,29.5,35.5
123,"Hirzenbach","Obligatorische Schule",30.8,27.9,33.7
123,"Hirzenbach","Sekundarstufe II",41.9,38.8,45
123,"Hirzenbach","Tertiärstufe",27.3,24.5,30.1
