T_19,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2001,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 362 042, 255 953, 106 089,  29.3
Kreis 1, 5 696, 4 511, 1 185,  20.8
Rathaus, 3 103, 2 488,  615,  19.8
Hochschulen,  738,  550,  188,  25.5
Lindenhof,  948,  793,  155,  16.4
City,  907,  680,  227,  25.0
Kreis 2, 28 698, 22 099, 6 599,  23.0
Wollishofen, 15 928, 12 305, 3 623,  22.7
Leimbach, 4 668, 3 630, 1 038,  22.2
Enge, 8 102, 6 164, 1 938,  23.9
Kreis 3, 45 438, 30 833, 14 605,  32.1
Alt-Wiedikon, 14 692, 9 859, 4 833,  32.9
Friesenberg, 10 042, 7 818, 2 224,  22.1
Sihlfeld, 20 704, 13 156, 7 548,  36.5
Kreis 4, 26 955, 15 302, 11 653,  43.2
Werd, 3 838, 2 517, 1 321,  34.4
Langstrasse, 10 276, 6 094, 4 182,  40.7
Hard, 12 841, 6 691, 6 150,  47.9
Kreis 5, 11 968, 7 137, 4 831,  40.4
Gewerbeschule, 9 835, 5 673, 4 162,  42.3
Escher Wyss, 2 133, 1 464,  669,  31.4
Kreis 6, 29 595, 23 018, 6 577,  22.2
Unterstrass, 19 831, 15 445, 4 386,  22.1
Oberstrass, 9 764, 7 573, 2 191,  22.4
Kreis 7, 33 676, 27 345, 6 331,  18.8
Fluntern, 7 221, 5 674, 1 547,  21.4
Hottingen, 10 096, 8 014, 2 082,  20.6
Hirslanden, 6 800, 5 598, 1 202,  17.7
Witikon, 9 559, 8 059, 1 500,  15.7
Kreis 8, 15 327, 11 664, 3 663,  23.9
Seefeld, 5 025, 3 776, 1 249,  24.9
Mühlebach, 5 486, 4 343, 1 143,  20.8
Weinegg, 4 816, 3 545, 1 271,  26.4
Kreis 9, 45 397, 30 802, 14 595,  32.1
Albisrieden, 16 614, 12 674, 3 940,  23.7
Altstetten, 28 783, 18 128, 10 655,  37.0
Kreis 10, 36 155, 27 322, 8 833,  24.4
Höngg, 20 588, 16 673, 3 915,  19.0
Wipkingen, 15 567, 10 649, 4 918,  31.6
Kreis 11, 55 019, 37 502, 17 517,  31.8
Affoltern, 18 693, 13 331, 5 362,  28.7
Oerlikon, 18 223, 12 295, 5 928,  32.5
Seebach, 18 103, 11 876, 6 227,  34.4
Kreis 12, 28 118, 18 418, 9 700,  34.5
Saatlen, 6 386, 4 545, 1 841,  28.8
Schwamendingen-Mitte, 10 430, 6 388, 4 042,  38.8
Hirzenbach, 11 302, 7 485, 3 817,  33.8
