T_26,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1994,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 360 848, 261 550, 99 298,  27.5
Kreis 1, 5 827, 4 549, 1 278,  21.9
Rathaus, 3 089, 2 466,  623,  20.2
Hochschulen,  806,  626,  180,  22.3
Lindenhof, 1 087,  908,  179,  16.5
City,  845,  549,  296,  35.0
Kreis 2, 28 622, 22 879, 5 743,  20.1
Wollishofen, 15 902, 12 705, 3 197,  20.1
Leimbach, 4 598, 3 855,  743,  16.2
Enge, 8 122, 6 319, 1 803,  22.2
Kreis 3, 46 585, 31 754, 14 831,  31.8
Alt-Wiedikon, 14 803, 9 939, 4 864,  32.9
Friesenberg, 10 213, 8 300, 1 913,  18.7
Sihlfeld, 21 569, 13 515, 8 054,  37.3
Kreis 4, 28 124, 15 348, 12 776,  45.4
Werd, 4 125, 2 429, 1 696,  41.1
Langstrasse, 11 183, 5 783, 5 400,  48.3
Hard, 12 816, 7 136, 5 680,  44.3
Kreis 5, 11 369, 5 785, 5 584,  49.1
Gewerbeschule, 9 773, 4 931, 4 842,  49.5
Escher Wyss, 1 596,  854,  742,  46.5
Kreis 6, 30 743, 23 866, 6 877,  22.4
Unterstrass, 20 477, 15 975, 4 502,  22.0
Oberstrass, 10 266, 7 891, 2 375,  23.1
Kreis 7, 33 725, 27 741, 5 984,  17.7
Fluntern, 7 085, 5 835, 1 250,  17.6
Hottingen, 10 229, 8 017, 2 212,  21.6
Hirslanden, 6 750, 5 566, 1 184,  17.5
Witikon, 9 661, 8 323, 1 338,  13.8
Kreis 8, 15 798, 11 870, 3 928,  24.9
Seefeld, 5 304, 3 914, 1 390,  26.2
Mühlebach, 5 611, 4 380, 1 231,  21.9
Weinegg, 4 883, 3 576, 1 307,  26.8
Kreis 9, 44 775, 32 724, 12 051,  26.9
Albisrieden, 17 058, 13 585, 3 473,  20.4
Altstetten, 27 717, 19 139, 8 578,  30.9
Kreis 10, 35 241, 26 942, 8 299,  23.5
Höngg, 19 184, 16 370, 2 814,  14.7
Wipkingen, 16 057, 10 572, 5 485,  34.2
Kreis 11, 52 474, 38 293, 14 181,  27.0
Affoltern, 18 061, 14 021, 4 040,  22.4
Oerlikon, 16 771, 11 728, 5 043,  30.1
Seebach, 17 642, 12 544, 5 098,  28.9
Kreis 12, 27 565, 19 799, 7 766,  28.2
Saatlen, 6 430, 4 921, 1 509,  23.5
Schwamendingen-Mitte, 10 240, 6 885, 3 355,  32.8
Hirzenbach, 10 895, 7 993, 2 902,  26.6
