T_1,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2019,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 434 008, 294 205, 139 803,  32.2
Kreis 1, 5 791, 4 018, 1 773,  30.6
Rathaus, 3 307, 2 295, 1 012,  30.6
Hochschulen,  678,  463,  215,  31.7
Lindenhof, 1 009,  716,  293,  29.0
City,  797,  544,  253,  31.7
Kreis 2, 35 035, 23 709, 11 326,  32.3
Wollishofen, 19 225, 13 530, 5 695,  29.6
Leimbach, 6 152, 4 124, 2 028,  33.0
Enge, 9 658, 6 055, 3 603,  37.3
Kreis 3, 51 122, 36 080, 15 042,  29.4
Alt-Wiedikon, 17 874, 11 750, 6 124,  34.3
Friesenberg, 11 107, 9 049, 2 058,  18.5
Sihlfeld, 22 141, 15 281, 6 860,  31.0
Kreis 4, 29 368, 18 624, 10 744,  36.6
Werd, 4 455, 2 960, 1 495,  33.6
Langstrasse, 11 853, 7 335, 4 518,  38.1
Hard, 13 060, 8 329, 4 731,  36.2
Kreis 5, 15 750, 10 633, 5 117,  32.5
Gewerbeschule, 9 562, 6 514, 3 048,  31.9
Escher Wyss, 6 188, 4 119, 2 069,  33.4
Kreis 6, 34 794, 24 890, 9 904,  28.5
Unterstrass, 23 971, 17 330, 6 641,  27.7
Oberstrass, 10 823, 7 560, 3 263,  30.1
Kreis 7, 38 584, 27 621, 10 963,  28.4
Fluntern, 8 639, 6 006, 2 633,  30.5
Hottingen, 11 388, 8 010, 3 378,  29.7
Hirslanden, 7 503, 5 486, 2 017,  26.9
Witikon, 11 054, 8 119, 2 935,  26.6
Kreis 8, 17 060, 10 868, 6 192,  36.3
Seefeld, 5 319, 3 151, 2 168,  40.8
Mühlebach, 6 327, 4 091, 2 236,  35.3
Weinegg, 5 414, 3 626, 1 788,  33.0
Kreis 9, 56 637, 38 215, 18 422,  32.5
Albisrieden, 22 352, 16 353, 5 999,  26.8
Altstetten, 34 285, 21 862, 12 423,  36.2
Kreis 10, 40 832, 30 222, 10 610,  26.0
Höngg, 24 358, 18 258, 6 100,  25.0
Wipkingen, 16 474, 11 964, 4 510,  27.4
Kreis 11, 75 804, 48 022, 27 782,  36.6
Affoltern, 26 710, 17 970, 8 740,  32.7
Oerlikon, 23 288, 14 362, 8 926,  38.3
Seebach, 25 806, 15 690, 10 116,  39.2
Kreis 12, 33 231, 21 303, 11 928,  35.9
Saatlen, 8 841, 6 377, 2 464,  27.9
Schwamendingen-Mitte, 11 261, 6 457, 4 804,  42.7
Hirzenbach, 13 129, 8 469, 4 660,  35.5
