T_20,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2000,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 360 980, 255 576, 105 404,  29.2
Kreis 1, 5 786, 4 593, 1 193,  20.6
Rathaus, 3 109, 2 519,  590,  19.0
Hochschulen,  759,  560,  199,  26.2
Lindenhof,  989,  826,  163,  16.5
City,  929,  688,  241,  25.9
Kreis 2, 28 935, 22 342, 6 593,  22.8
Wollishofen, 16 102, 12 461, 3 641,  22.6
Leimbach, 4 644, 3 653,  991,  21.3
Enge, 8 189, 6 228, 1 961,  23.9
Kreis 3, 45 648, 30 769, 14 879,  32.6
Alt-Wiedikon, 14 789, 9 898, 4 891,  33.1
Friesenberg, 9 972, 7 810, 2 162,  21.7
Sihlfeld, 20 887, 13 061, 7 826,  37.5
Kreis 4, 27 029, 15 255, 11 774,  43.6
Werd, 3 917, 2 535, 1 382,  35.3
Langstrasse, 10 237, 6 078, 4 159,  40.6
Hard, 12 875, 6 642, 6 233,  48.4
Kreis 5, 11 753, 6 791, 4 962,  42.2
Gewerbeschule, 9 824, 5 572, 4 252,  43.3
Escher Wyss, 1 929, 1 219,  710,  36.8
Kreis 6, 29 797, 23 202, 6 595,  22.1
Unterstrass, 19 933, 15 520, 4 413,  22.1
Oberstrass, 9 864, 7 682, 2 182,  22.1
Kreis 7, 33 717, 27 562, 6 155,  18.3
Fluntern, 7 267, 5 787, 1 480,  20.4
Hottingen, 10 147, 8 101, 2 046,  20.2
Hirslanden, 6 759, 5 592, 1 167,  17.3
Witikon, 9 544, 8 082, 1 462,  15.3
Kreis 8, 15 338, 11 739, 3 599,  23.5
Seefeld, 4 989, 3 786, 1 203,  24.1
Mühlebach, 5 545, 4 399, 1 146,  20.7
Weinegg, 4 804, 3 554, 1 250,  26.0
Kreis 9, 44 619, 30 466, 14 153,  31.7
Albisrieden, 16 445, 12 676, 3 769,  22.9
Altstetten, 28 174, 17 790, 10 384,  36.9
Kreis 10, 36 127, 27 332, 8 795,  24.3
Höngg, 20 423, 16 656, 3 767,  18.4
Wipkingen, 15 704, 10 676, 5 028,  32.0
Kreis 11, 54 133, 36 993, 17 140,  31.7
Affoltern, 18 387, 13 218, 5 169,  28.1
Oerlikon, 17 876, 11 947, 5 929,  33.2
Seebach, 17 870, 11 828, 6 042,  33.8
Kreis 12, 28 098, 18 532, 9 566,  34.0
Saatlen, 6 338, 4 483, 1 855,  29.3
Schwamendingen-Mitte, 10 479, 6 504, 3 975,  37.9
Hirzenbach, 11 281, 7 545, 3 736,  33.1
