T_5,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2015,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 410 404, 279 236, 131 168,  32.0
Kreis 1, 5 617, 3 941, 1 676,  29.8
Rathaus, 3 197, 2 233,  964,  30.2
Hochschulen,  641,  437,  204,  31.8
Lindenhof,  974,  709,  265,  27.2
City,  805,  562,  243,  30.2
Kreis 2, 31 603, 22 261, 9 342,  29.6
Wollishofen, 16 244, 11 871, 4 373,  26.9
Leimbach, 6 102, 4 259, 1 843,  30.2
Enge, 9 257, 6 131, 3 126,  33.8
Kreis 3, 49 195, 34 561, 14 634,  29.7
Alt-Wiedikon, 17 158, 11 395, 5 763,  33.6
Friesenberg, 10 698, 8 623, 2 075,  19.4
Sihlfeld, 21 339, 14 543, 6 796,  31.8
Kreis 4, 28 701, 17 692, 11 009,  38.4
Werd, 4 460, 2 896, 1 564,  35.1
Langstrasse, 11 169, 6 744, 4 425,  39.6
Hard, 13 072, 8 052, 5 020,  38.4
Kreis 5, 15 065, 10 171, 4 894,  32.5
Gewerbeschule, 9 608, 6 453, 3 155,  32.8
Escher Wyss, 5 457, 3 718, 1 739,  31.9
Kreis 6, 32 867, 23 428, 9 439,  28.7
Unterstrass, 22 226, 16 032, 6 194,  27.9
Oberstrass, 10 641, 7 396, 3 245,  30.5
Kreis 7, 37 053, 26 532, 10 521,  28.4
Fluntern, 7 953, 5 415, 2 538,  31.9
Hottingen, 11 081, 7 754, 3 327,  30.0
Hirslanden, 7 380, 5 368, 2 012,  27.3
Witikon, 10 639, 7 995, 2 644,  24.9
Kreis 8, 16 192, 10 629, 5 563,  34.4
Seefeld, 4 990, 3 113, 1 877,  37.6
Mühlebach, 6 116, 4 041, 2 075,  33.9
Weinegg, 5 086, 3 475, 1 611,  31.7
Kreis 9, 51 328, 35 009, 16 319,  31.8
Albisrieden, 19 325, 14 318, 5 007,  25.9
Altstetten, 32 003, 20 691, 11 312,  35.3
Kreis 10, 38 199, 28 396, 9 803,  25.7
Höngg, 22 320, 17 090, 5 230,  23.4
Wipkingen, 15 879, 11 306, 4 573,  28.8
Kreis 11, 72 831, 46 573, 26 258,  36.1
Affoltern, 25 874, 17 305, 8 569,  33.1
Oerlikon, 21 966, 13 788, 8 178,  37.2
Seebach, 24 991, 15 480, 9 511,  38.1
Kreis 12, 31 753, 20 043, 11 710,  36.9
Saatlen, 8 508, 5 853, 2 655,  31.2
Schwamendingen-Mitte, 11 315, 6 588, 4 727,  41.8
Hirzenbach, 11 930, 7 602, 4 328,  36.3
