T_15,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2005,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 366 809, 255 917, 110 892,  30.2
Kreis 1, 5 572, 4 212, 1 360,  24.4
Rathaus, 3 081, 2 344,  737,  23.9
Hochschulen,  695,  504,  191,  27.5
Lindenhof,  950,  757,  193,  20.3
City,  846,  607,  239,  28.3
Kreis 2, 28 834, 21 972, 6 862,  23.8
Wollishofen, 15 592, 12 027, 3 565,  22.9
Leimbach, 4 867, 3 748, 1 119,  23.0
Enge, 8 375, 6 197, 2 178,  26.0
Kreis 3, 45 885, 31 181, 14 704,  32.0
Alt-Wiedikon, 14 971, 10 142, 4 829,  32.3
Friesenberg, 10 360, 7 985, 2 375,  22.9
Sihlfeld, 20 554, 13 054, 7 500,  36.5
Kreis 4, 26 961, 15 495, 11 466,  42.5
Werd, 3 878, 2 590, 1 288,  33.2
Langstrasse, 10 368, 6 069, 4 299,  41.5
Hard, 12 715, 6 836, 5 879,  46.2
Kreis 5, 12 417, 7 900, 4 517,  36.4
Gewerbeschule, 9 690, 5 886, 3 804,  39.3
Escher Wyss, 2 727, 2 014,  713,  26.1
Kreis 6, 29 415, 22 363, 7 052,  24.0
Unterstrass, 19 921, 15 212, 4 709,  23.6
Oberstrass, 9 494, 7 151, 2 343,  24.7
Kreis 7, 34 148, 26 992, 7 156,  21.0
Fluntern, 7 325, 5 589, 1 736,  23.7
Hottingen, 10 100, 7 715, 2 385,  23.6
Hirslanden, 6 859, 5 530, 1 329,  19.4
Witikon, 9 864, 8 158, 1 706,  17.3
Kreis 8, 15 343, 11 338, 4 005,  26.1
Seefeld, 4 923, 3 512, 1 411,  28.7
Mühlebach, 5 577, 4 207, 1 370,  24.6
Weinegg, 4 843, 3 619, 1 224,  25.3
Kreis 9, 45 504, 30 626, 14 878,  32.7
Albisrieden, 17 226, 12 824, 4 402,  25.6
Altstetten, 28 278, 17 802, 10 476,  37.0
Kreis 10, 36 219, 27 344, 8 875,  24.5
Höngg, 20 773, 16 706, 4 067,  19.6
Wipkingen, 15 446, 10 638, 4 808,  31.1
Kreis 11, 58 275, 38 757, 19 518,  33.5
Affoltern, 18 733, 12 996, 5 737,  30.6
Oerlikon, 19 663, 13 029, 6 634,  33.7
Seebach, 19 879, 12 732, 7 147,  36.0
Kreis 12, 28 236, 17 737, 10 499,  37.2
Saatlen, 6 649, 4 568, 2 081,  31.3
Schwamendingen-Mitte, 10 322, 6 128, 4 194,  40.6
Hirzenbach, 11 265, 7 041, 4 224,  37.5
