T_27,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1993,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 360 898, 264 041, 96 857,  26.8
Kreis 1, 5 961, 4 631, 1 330,  22.3
Rathaus, 3 133, 2 487,  646,  20.6
Hochschulen,  808,  614,  194,  24.0
Lindenhof, 1 136,  951,  185,  16.3
City,  884,  579,  305,  34.5
Kreis 2, 28 607, 23 065, 5 542,  19.4
Wollishofen, 15 927, 12 856, 3 071,  19.3
Leimbach, 4 555, 3 851,  704,  15.5
Enge, 8 125, 6 358, 1 767,  21.7
Kreis 3, 46 340, 32 018, 14 322,  30.9
Alt-Wiedikon, 14 637, 9 981, 4 656,  31.8
Friesenberg, 10 167, 8 333, 1 834,  18.0
Sihlfeld, 21 536, 13 704, 7 832,  36.4
Kreis 4, 28 300, 15 577, 12 723,  45.0
Werd, 4 048, 2 390, 1 658,  41.0
Langstrasse, 11 505, 5 833, 5 672,  49.3
Hard, 12 747, 7 354, 5 393,  42.3
Kreis 5, 11 495, 5 850, 5 645,  49.1
Gewerbeschule, 9 948, 5 017, 4 931,  49.6
Escher Wyss, 1 547,  833,  714,  46.2
Kreis 6, 30 579, 23 876, 6 703,  21.9
Unterstrass, 20 425, 16 049, 4 376,  21.4
Oberstrass, 10 154, 7 827, 2 327,  22.9
Kreis 7, 33 788, 27 838, 5 950,  17.6
Fluntern, 7 188, 5 879, 1 309,  18.2
Hottingen, 10 139, 7 975, 2 164,  21.3
Hirslanden, 6 835, 5 627, 1 208,  17.7
Witikon, 9 626, 8 357, 1 269,  13.2
Kreis 8, 15 833, 11 863, 3 970,  25.1
Seefeld, 5 283, 3 887, 1 396,  26.4
Mühlebach, 5 694, 4 446, 1 248,  21.9
Weinegg, 4 856, 3 530, 1 326,  27.3
Kreis 9, 45 003, 33 457, 11 546,  25.7
Albisrieden, 17 132, 13 731, 3 401,  19.9
Altstetten, 27 871, 19 726, 8 145,  29.2
Kreis 10, 35 092, 27 014, 8 078,  23.0
Höngg, 19 118, 16 404, 2 714,  14.2
Wipkingen, 15 974, 10 610, 5 364,  33.6
Kreis 11, 52 419, 38 813, 13 606,  26.0
Affoltern, 18 095, 14 197, 3 898,  21.5
Oerlikon, 16 710, 11 889, 4 821,  28.9
Seebach, 17 614, 12 727, 4 887,  27.7
Kreis 12, 27 481, 20 039, 7 442,  27.1
Saatlen, 6 472, 5 034, 1 438,  22.2
Schwamendingen-Mitte, 10 175, 6 958, 3 217,  31.6
Hirzenbach, 10 834, 8 047, 2 787,  25.7
