T_14,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2006,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 370 062, 259 102, 110 960,  30.0
Kreis 1, 5 608, 4 149, 1 459,  26.0
Rathaus, 3 097, 2 300,  797,  25.7
Hochschulen,  711,  508,  203,  28.6
Lindenhof,  955,  756,  199,  20.8
City,  845,  585,  260,  30.8
Kreis 2, 28 898, 21 945, 6 953,  24.1
Wollishofen, 15 587, 12 026, 3 561,  22.8
Leimbach, 4 944, 3 789, 1 155,  23.4
Enge, 8 367, 6 130, 2 237,  26.7
Kreis 3, 45 887, 31 539, 14 348,  31.3
Alt-Wiedikon, 15 231, 10 346, 4 885,  32.1
Friesenberg, 10 342, 7 999, 2 343,  22.7
Sihlfeld, 20 314, 13 194, 7 120,  35.0
Kreis 4, 26 705, 15 622, 11 083,  41.5
Werd, 3 865, 2 586, 1 279,  33.1
Langstrasse, 10 332, 6 111, 4 221,  40.9
Hard, 12 508, 6 925, 5 583,  44.6
Kreis 5, 12 722, 8 327, 4 395,  34.5
Gewerbeschule, 9 735, 6 113, 3 622,  37.2
Escher Wyss, 2 987, 2 214,  773,  25.9
Kreis 6, 29 657, 22 388, 7 269,  24.5
Unterstrass, 19 959, 15 143, 4 816,  24.1
Oberstrass, 9 698, 7 245, 2 453,  25.3
Kreis 7, 34 421, 26 955, 7 466,  21.7
Fluntern, 7 379, 5 565, 1 814,  24.6
Hottingen, 10 180, 7 698, 2 482,  24.4
Hirslanden, 6 904, 5 506, 1 398,  20.2
Witikon, 9 958, 8 186, 1 772,  17.8
Kreis 8, 15 207, 11 086, 4 121,  27.1
Seefeld, 4 842, 3 394, 1 448,  29.9
Mühlebach, 5 549, 4 105, 1 444,  26.0
Weinegg, 4 816, 3 587, 1 229,  25.5
Kreis 9, 46 143, 31 381, 14 762,  32.0
Albisrieden, 17 275, 12 977, 4 298,  24.9
Altstetten, 28 868, 18 404, 10 464,  36.2
Kreis 10, 36 409, 27 532, 8 877,  24.4
Höngg, 21 017, 16 853, 4 164,  19.8
Wipkingen, 15 392, 10 679, 4 713,  30.6
Kreis 11, 59 868, 40 086, 19 782,  33.0
Affoltern, 18 793, 13 153, 5 640,  30.0
Oerlikon, 20 318, 13 517, 6 801,  33.5
Seebach, 20 757, 13 416, 7 341,  35.4
Kreis 12, 28 537, 18 092, 10 445,  36.6
Saatlen, 6 695, 4 593, 2 102,  31.4
Schwamendingen-Mitte, 10 637, 6 409, 4 228,  39.7
Hirzenbach, 11 205, 7 090, 4 115,  36.7
