T_25,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1995,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 360 826, 259 361, 101 465,  28.1
Kreis 1, 5 934, 4 705, 1 229,  20.7
Rathaus, 3 049, 2 473,  576,  18.9
Hochschulen,  782,  614,  168,  21.5
Lindenhof, 1 096,  931,  165,  15.1
City, 1 007,  687,  320,  31.8
Kreis 2, 28 739, 22 757, 5 982,  20.8
Wollishofen, 15 918, 12 609, 3 309,  20.8
Leimbach, 4 647, 3 866,  781,  16.8
Enge, 8 174, 6 282, 1 892,  23.1
Kreis 3, 46 327, 31 279, 15 048,  32.5
Alt-Wiedikon, 14 719, 9 771, 4 948,  33.6
Friesenberg, 10 155, 8 191, 1 964,  19.3
Sihlfeld, 21 453, 13 317, 8 136,  37.9
Kreis 4, 27 829, 15 000, 12 829,  46.1
Werd, 4 005, 2 382, 1 623,  40.5
Langstrasse, 10 952, 5 737, 5 215,  47.6
Hard, 12 872, 6 881, 5 991,  46.5
Kreis 5, 11 460, 5 881, 5 579,  48.7
Gewerbeschule, 9 811, 4 957, 4 854,  49.5
Escher Wyss, 1 649,  924,  725,  44.0
Kreis 6, 30 477, 23 628, 6 849,  22.5
Unterstrass, 20 356, 15 838, 4 518,  22.2
Oberstrass, 10 121, 7 790, 2 331,  23.0
Kreis 7, 33 771, 27 631, 6 140,  18.2
Fluntern, 7 151, 5 822, 1 329,  18.6
Hottingen, 10 234, 8 027, 2 207,  21.6
Hirslanden, 6 654, 5 463, 1 191,  17.9
Witikon, 9 732, 8 319, 1 413,  14.5
Kreis 8, 15 763, 11 895, 3 868,  24.5
Seefeld, 5 281, 3 919, 1 362,  25.8
Mühlebach, 5 611, 4 388, 1 223,  21.8
Weinegg, 4 871, 3 588, 1 283,  26.3
Kreis 9, 44 631, 32 117, 12 514,  28.0
Albisrieden, 16 843, 13 389, 3 454,  20.5
Altstetten, 27 788, 18 728, 9 060,  32.6
Kreis 10, 35 323, 26 899, 8 424,  23.8
Höngg, 19 243, 16 333, 2 910,  15.1
Wipkingen, 16 080, 10 566, 5 514,  34.3
Kreis 11, 52 887, 37 955, 14 932,  28.2
Affoltern, 18 154, 13 876, 4 278,  23.6
Oerlikon, 17 033, 11 714, 5 319,  31.2
Seebach, 17 700, 12 365, 5 335,  30.1
Kreis 12, 27 685, 19 614, 8 071,  29.2
Saatlen, 6 442, 4 894, 1 548,  24.0
Schwamendingen-Mitte, 10 248, 6 848, 3 400,  33.2
Hirzenbach, 10 995, 7 872, 3 123,  28.4
