T_16,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2004,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 364 977, 254 835, 110 142,  30.2
Kreis 1, 5 630, 4 288, 1 342,  23.8
Rathaus, 3 115, 2 415,  700,  22.5
Hochschulen,  725,  508,  217,  29.9
Lindenhof,  947,  761,  186,  19.6
City,  843,  604,  239,  28.4
Kreis 2, 28 486, 21 789, 6 697,  23.5
Wollishofen, 15 499, 11 944, 3 555,  22.9
Leimbach, 4 778, 3 678, 1 100,  23.0
Enge, 8 209, 6 167, 2 042,  24.9
Kreis 3, 45 444, 30 784, 14 660,  32.3
Alt-Wiedikon, 14 551, 9 838, 4 713,  32.4
Friesenberg, 10 326, 7 987, 2 339,  22.7
Sihlfeld, 20 567, 12 959, 7 608,  37.0
Kreis 4, 26 886, 15 250, 11 636,  43.3
Werd, 3 763, 2 516, 1 247,  33.1
Langstrasse, 10 319, 6 042, 4 277,  41.4
Hard, 12 804, 6 692, 6 112,  47.7
Kreis 5, 12 397, 7 755, 4 642,  37.4
Gewerbeschule, 9 773, 5 825, 3 948,  40.4
Escher Wyss, 2 624, 1 930,  694,  26.4
Kreis 6, 29 288, 22 456, 6 832,  23.3
Unterstrass, 19 742, 15 213, 4 529,  22.9
Oberstrass, 9 546, 7 243, 2 303,  24.1
Kreis 7, 33 728, 26 934, 6 794,  20.1
Fluntern, 7 285, 5 614, 1 671,  22.9
Hottingen, 9 926, 7 713, 2 213,  22.3
Hirslanden, 6 806, 5 537, 1 269,  18.6
Witikon, 9 711, 8 070, 1 641,  16.9
Kreis 8, 15 310, 11 381, 3 929,  25.7
Seefeld, 4 993, 3 628, 1 365,  27.3
Mühlebach, 5 546, 4 224, 1 322,  23.8
Weinegg, 4 771, 3 529, 1 242,  26.0
Kreis 9, 45 455, 30 583, 14 872,  32.7
Albisrieden, 17 087, 12 806, 4 281,  25.1
Altstetten, 28 368, 17 777, 10 591,  37.3
Kreis 10, 36 284, 27 436, 8 848,  24.4
Höngg, 20 856, 16 797, 4 059,  19.5
Wipkingen, 15 428, 10 639, 4 789,  31.0
Kreis 11, 57 762, 38 333, 19 429,  33.6
Affoltern, 18 886, 13 023, 5 863,  31.0
Oerlikon, 19 375, 12 809, 6 566,  33.9
Seebach, 19 501, 12 501, 7 000,  35.9
Kreis 12, 28 307, 17 846, 10 461,  37.0
Saatlen, 6 697, 4 579, 2 118,  31.6
Schwamendingen-Mitte, 10 274, 6 125, 4 149,  40.4
Hirzenbach, 11 336, 7 142, 4 194,  37.0
