T_17,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2003,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 364 528, 255 649, 108 879,  29.9
Kreis 1, 5 700, 4 417, 1 283,  22.5
Rathaus, 3 149, 2 464,  685,  21.8
Hochschulen,  723,  526,  197,  27.2
Lindenhof,  942,  777,  165,  17.5
City,  886,  650,  236,  26.6
Kreis 2, 28 526, 21 906, 6 620,  23.2
Wollishofen, 15 468, 11 940, 3 528,  22.8
Leimbach, 4 830, 3 762, 1 068,  22.1
Enge, 8 228, 6 204, 2 024,  24.6
Kreis 3, 45 509, 30 850, 14 659,  32.2
Alt-Wiedikon, 14 459, 9 776, 4 683,  32.4
Friesenberg, 10 387, 8 050, 2 337,  22.5
Sihlfeld, 20 663, 13 024, 7 639,  37.0
Kreis 4, 26 909, 15 229, 11 680,  43.4
Werd, 3 788, 2 500, 1 288,  34.0
Langstrasse, 10 304, 5 999, 4 305,  41.8
Hard, 12 817, 6 730, 6 087,  47.5
Kreis 5, 12 246, 7 585, 4 661,  38.1
Gewerbeschule, 9 781, 5 761, 4 020,  41.1
Escher Wyss, 2 465, 1 824,  641,  26.0
Kreis 6, 29 571, 22 772, 6 799,  23.0
Unterstrass, 19 882, 15 339, 4 543,  22.8
Oberstrass, 9 689, 7 433, 2 256,  23.3
Kreis 7, 33 417, 26 938, 6 479,  19.4
Fluntern, 7 102, 5 559, 1 543,  21.7
Hottingen, 10 017, 7 866, 2 151,  21.5
Hirslanden, 6 795, 5 562, 1 233,  18.1
Witikon, 9 503, 7 951, 1 552,  16.3
Kreis 8, 15 177, 11 377, 3 800,  25.0
Seefeld, 4 996, 3 680, 1 316,  26.3
Mühlebach, 5 434, 4 245, 1 189,  21.9
Weinegg, 4 747, 3 452, 1 295,  27.3
Kreis 9, 45 341, 30 578, 14 763,  32.6
Albisrieden, 17 018, 12 838, 4 180,  24.6
Altstetten, 28 323, 17 740, 10 583,  37.4
Kreis 10, 36 286, 27 393, 8 893,  24.5
Höngg, 20 810, 16 765, 4 045,  19.4
Wipkingen, 15 476, 10 628, 4 848,  31.3
Kreis 11, 57 442, 38 439, 19 003,  33.1
Affoltern, 18 787, 13 077, 5 710,  30.4
Oerlikon, 19 217, 12 795, 6 422,  33.4
Seebach, 19 438, 12 567, 6 871,  35.3
Kreis 12, 28 404, 18 165, 10 239,  36.0
Saatlen, 6 583, 4 566, 2 017,  30.6
Schwamendingen-Mitte, 10 389, 6 267, 4 122,  39.7
Hirzenbach, 11 432, 7 332, 4 100,  35.9
