T_3,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2017,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 423 310, 286 255, 137 055,  32.4
Kreis 1, 5 728, 3 985, 1 743,  30.4
Rathaus, 3 266, 2 271,  995,  30.5
Hochschulen,  677,  456,  221,  32.6
Lindenhof,  955,  681,  274,  28.7
City,  830,  577,  253,  30.5
Kreis 2, 33 593, 23 067, 10 526,  31.3
Wollishofen, 17 892, 12 828, 5 064,  28.3
Leimbach, 6 212, 4 219, 1 993,  32.1
Enge, 9 489, 6 020, 3 469,  36.6
Kreis 3, 50 042, 35 174, 14 868,  29.7
Alt-Wiedikon, 17 522, 11 527, 5 995,  34.2
Friesenberg, 10 860, 8 850, 2 010,  18.5
Sihlfeld, 21 660, 14 797, 6 863,  31.7
Kreis 4, 28 775, 17 892, 10 883,  37.8
Werd, 4 574, 3 014, 1 560,  34.1
Langstrasse, 11 144, 6 788, 4 356,  39.1
Hard, 13 057, 8 090, 4 967,  38.0
Kreis 5, 15 666, 10 556, 5 110,  32.6
Gewerbeschule, 9 578, 6 549, 3 029,  31.6
Escher Wyss, 6 088, 4 007, 2 081,  34.2
Kreis 6, 33 614, 23 956, 9 658,  28.7
Unterstrass, 22 768, 16 365, 6 403,  28.1
Oberstrass, 10 846, 7 591, 3 255,  30.0
Kreis 7, 37 458, 26 805, 10 653,  28.4
Fluntern, 8 221, 5 582, 2 639,  32.1
Hottingen, 11 172, 7 866, 3 306,  29.6
Hirslanden, 7 465, 5 435, 2 030,  27.2
Witikon, 10 600, 7 922, 2 678,  25.3
Kreis 8, 16 541, 10 661, 5 880,  35.5
Seefeld, 5 129, 3 108, 2 021,  39.4
Mühlebach, 6 164, 3 992, 2 172,  35.2
Weinegg, 5 248, 3 561, 1 687,  32.1
Kreis 9, 54 716, 37 013, 17 703,  32.4
Albisrieden, 22 113, 16 097, 6 016,  27.2
Altstetten, 32 603, 20 916, 11 687,  35.8
Kreis 10, 40 341, 29 581, 10 760,  26.7
Höngg, 23 797, 17 778, 6 019,  25.3
Wipkingen, 16 544, 11 803, 4 741,  28.7
Kreis 11, 74 809, 47 270, 27 539,  36.8
Affoltern, 26 177, 17 577, 8 600,  32.9
Oerlikon, 22 815, 13 973, 8 842,  38.8
Seebach, 25 817, 15 720, 10 097,  39.1
Kreis 12, 32 027, 20 295, 11 732,  36.6
Saatlen, 8 388, 5 853, 2 535,  30.2
Schwamendingen-Mitte, 11 012, 6 351, 4 661,  42.3
Hirzenbach, 12 627, 8 091, 4 536,  35.9
