T_4,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2016,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 415 682, 282 209, 133 473,  32.1
Kreis 1, 5 648, 3 949, 1 699,  30.1
Rathaus, 3 226, 2 239,  987,  30.6
Hochschulen,  640,  432,  208,  32.5
Lindenhof,  972,  707,  265,  27.3
City,  810,  571,  239,  29.5
Kreis 2, 32 162, 22 377, 9 785,  30.4
Wollishofen, 16 567, 12 053, 4 514,  27.2
Leimbach, 6 173, 4 252, 1 921,  31.1
Enge, 9 422, 6 072, 3 350,  35.6
Kreis 3, 49 500, 34 879, 14 621,  29.5
Alt-Wiedikon, 17 321, 11 496, 5 825,  33.6
Friesenberg, 11 002, 8 858, 2 144,  19.5
Sihlfeld, 21 177, 14 525, 6 652,  31.4
Kreis 4, 28 630, 17 659, 10 971,  38.3
Werd, 4 594, 2 991, 1 603,  34.9
Langstrasse, 11 145, 6 756, 4 389,  39.4
Hard, 12 891, 7 912, 4 979,  38.6
Kreis 5, 15 423, 10 395, 5 028,  32.6
Gewerbeschule, 9 598, 6 509, 3 089,  32.2
Escher Wyss, 5 825, 3 886, 1 939,  33.3
Kreis 6, 33 270, 23 610, 9 660,  29.0
Unterstrass, 22 476, 16 126, 6 350,  28.3
Oberstrass, 10 794, 7 484, 3 310,  30.7
Kreis 7, 37 139, 26 621, 10 518,  28.3
Fluntern, 8 038, 5 470, 2 568,  31.9
Hottingen, 11 113, 7 796, 3 317,  29.8
Hirslanden, 7 321, 5 375, 1 946,  26.6
Witikon, 10 667, 7 980, 2 687,  25.2
Kreis 8, 16 213, 10 517, 5 696,  35.1
Seefeld, 5 046, 3 097, 1 949,  38.6
Mühlebach, 6 137, 3 980, 2 157,  35.1
Weinegg, 5 030, 3 440, 1 590,  31.6
Kreis 9, 52 898, 36 104, 16 794,  31.7
Albisrieden, 21 174, 15 566, 5 608,  26.5
Altstetten, 31 724, 20 538, 11 186,  35.3
Kreis 10, 39 564, 29 200, 10 364,  26.2
Höngg, 23 423, 17 638, 5 785,  24.7
Wipkingen, 16 141, 11 562, 4 579,  28.4
Kreis 11, 73 413, 46 771, 26 642,  36.3
Affoltern, 26 054, 17 504, 8 550,  32.8
Oerlikon, 22 161, 13 743, 8 418,  38.0
Seebach, 25 198, 15 524, 9 674,  38.4
Kreis 12, 31 822, 20 127, 11 695,  36.8
Saatlen, 8 283, 5 734, 2 549,  30.8
Schwamendingen-Mitte, 11 076, 6 473, 4 603,  41.6
Hirzenbach, 12 463, 7 920, 4 543,  36.5
