T_24,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1996,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 359 648, 257 600, 102 048,  28.4
Kreis 1, 5 856, 4 644, 1 212,  20.7
Rathaus, 3 078, 2 493,  585,  19.0
Hochschulen,  753,  584,  169,  22.4
Lindenhof, 1 044,  887,  157,  15.0
City,  981,  680,  301,  30.7
Kreis 2, 28 552, 22 503, 6 049,  21.2
Wollishofen, 15 844, 12 483, 3 361,  21.2
Leimbach, 4 553, 3 771,  782,  17.2
Enge, 8 155, 6 249, 1 906,  23.4
Kreis 3, 46 095, 30 992, 15 103,  32.8
Alt-Wiedikon, 14 869, 9 807, 5 062,  34.0
Friesenberg, 9 993, 8 010, 1 983,  19.8
Sihlfeld, 21 233, 13 175, 8 058,  38.0
Kreis 4, 27 634, 14 896, 12 738,  46.1
Werd, 3 979, 2 361, 1 618,  40.7
Langstrasse, 10 718, 5 760, 4 958,  46.3
Hard, 12 937, 6 775, 6 162,  47.6
Kreis 5, 11 341, 5 965, 5 376,  47.4
Gewerbeschule, 9 700, 5 043, 4 657,  48.0
Escher Wyss, 1 641,  922,  719,  43.8
Kreis 6, 30 428, 23 613, 6 815,  22.4
Unterstrass, 20 318, 15 801, 4 517,  22.2
Oberstrass, 10 110, 7 812, 2 298,  22.7
Kreis 7, 33 876, 27 642, 6 234,  18.4
Fluntern, 7 178, 5 780, 1 398,  19.5
Hottingen, 10 348, 8 095, 2 253,  21.8
Hirslanden, 6 703, 5 510, 1 193,  17.8
Witikon, 9 647, 8 257, 1 390,  14.4
Kreis 8, 15 692, 11 931, 3 761,  24.0
Seefeld, 5 226, 3 966, 1 260,  24.1
Mühlebach, 5 566, 4 366, 1 200,  21.6
Weinegg, 4 900, 3 599, 1 301,  26.6
Kreis 9, 44 365, 31 665, 12 700,  28.6
Albisrieden, 16 705, 13 195, 3 510,  21.0
Altstetten, 27 660, 18 470, 9 190,  33.2
Kreis 10, 35 735, 27 025, 8 710,  24.4
Höngg, 19 604, 16 454, 3 150,  16.1
Wipkingen, 16 131, 10 571, 5 560,  34.5
Kreis 11, 52 559, 37 455, 15 104,  28.7
Affoltern, 18 122, 13 682, 4 440,  24.5
Oerlikon, 16 813, 11 528, 5 285,  31.4
Seebach, 17 624, 12 245, 5 379,  30.5
Kreis 12, 27 515, 19 269, 8 246,  30.0
Saatlen, 6 384, 4 850, 1 534,  24.0
Schwamendingen-Mitte, 10 141, 6 667, 3 474,  34.3
Hirzenbach, 10 990, 7 752, 3 238,  29.5
