T_7,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2013,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 398 575, 272 705, 125 870,  31.6
Kreis 1, 5 565, 3 964, 1 601,  28.8
Rathaus, 3 194, 2 269,  925,  29.0
Hochschulen,  665,  461,  204,  30.7
Lindenhof,  923,  685,  238,  25.8
City,  783,  549,  234,  29.9
Kreis 2, 30 503, 21 914, 8 589,  28.2
Wollishofen, 15 937, 11 803, 4 134,  25.9
Leimbach, 5 730, 4 192, 1 538,  26.8
Enge, 8 836, 5 919, 2 917,  33.0
Kreis 3, 48 333, 33 907, 14 426,  29.8
Alt-Wiedikon, 16 706, 11 121, 5 585,  33.4
Friesenberg, 10 696, 8 596, 2 100,  19.6
Sihlfeld, 20 931, 14 190, 6 741,  32.2
Kreis 4, 28 115, 16 967, 11 148,  39.7
Werd, 4 188, 2 661, 1 527,  36.5
Langstrasse, 10 686, 6 342, 4 344,  40.7
Hard, 13 241, 7 964, 5 277,  39.9
Kreis 5, 13 636, 9 200, 4 436,  32.5
Gewerbeschule, 9 626, 6 342, 3 284,  34.1
Escher Wyss, 4 010, 2 858, 1 152,  28.7
Kreis 6, 32 328, 23 112, 9 216,  28.5
Unterstrass, 21 876, 15 772, 6 104,  27.9
Oberstrass, 10 452, 7 340, 3 112,  29.8
Kreis 7, 36 116, 26 211, 9 905,  27.4
Fluntern, 7 856, 5 423, 2 433,  31.0
Hottingen, 10 708, 7 556, 3 152,  29.4
Hirslanden, 7 285, 5 379, 1 906,  26.2
Witikon, 10 267, 7 853, 2 414,  23.5
Kreis 8, 15 912, 10 677, 5 235,  32.9
Seefeld, 4 978, 3 180, 1 798,  36.1
Mühlebach, 5 912, 3 997, 1 915,  32.4
Weinegg, 5 022, 3 500, 1 522,  30.3
Kreis 9, 50 261, 34 348, 15 913,  31.7
Albisrieden, 19 146, 14 244, 4 902,  25.6
Altstetten, 31 115, 20 104, 11 011,  35.4
Kreis 10, 37 416, 27 740, 9 676,  25.9
Höngg, 21 581, 16 663, 4 918,  22.8
Wipkingen, 15 835, 11 077, 4 758,  30.0
Kreis 11, 70 748, 45 789, 24 959,  35.3
Affoltern, 25 082, 16 920, 8 162,  32.5
Oerlikon, 21 658, 13 797, 7 861,  36.3
Seebach, 24 008, 15 072, 8 936,  37.2
Kreis 12, 29 642, 18 876, 10 766,  36.3
Saatlen, 7 280, 5 020, 2 260,  31.0
Schwamendingen-Mitte, 11 209, 6 684, 4 525,  40.4
Hirzenbach, 11 153, 7 172, 3 981,  35.7
