T_13,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2007,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 376 815, 261 436, 115 379,  30.6
Kreis 1, 5 607, 4 027, 1 580,  28.2
Rathaus, 3 079, 2 234,  845,  27.4
Hochschulen,  698,  483,  215,  30.8
Lindenhof,  954,  727,  227,  23.8
City,  876,  583,  293,  33.4
Kreis 2, 29 421, 22 035, 7 386,  25.1
Wollishofen, 15 744, 11 976, 3 768,  23.9
Leimbach, 5 204, 3 919, 1 285,  24.7
Enge, 8 473, 6 140, 2 333,  27.5
Kreis 3, 46 108, 31 642, 14 466,  31.4
Alt-Wiedikon, 15 440, 10 386, 5 054,  32.7
Friesenberg, 10 296, 7 962, 2 334,  22.7
Sihlfeld, 20 372, 13 294, 7 078,  34.7
Kreis 4, 27 056, 15 776, 11 280,  41.7
Werd, 3 944, 2 571, 1 373,  34.8
Langstrasse, 10 310, 6 120, 4 190,  40.6
Hard, 12 802, 7 085, 5 717,  44.7
Kreis 5, 12 714, 8 366, 4 348,  34.2
Gewerbeschule, 9 706, 6 153, 3 553,  36.6
Escher Wyss, 3 008, 2 213,  795,  26.4
Kreis 6, 30 203, 22 574, 7 629,  25.3
Unterstrass, 20 243, 15 245, 4 998,  24.7
Oberstrass, 9 960, 7 329, 2 631,  26.4
Kreis 7, 34 843, 26 811, 8 032,  23.1
Fluntern, 7 455, 5 486, 1 969,  26.4
Hottingen, 10 284, 7 607, 2 677,  26.0
Hirslanden, 6 977, 5 492, 1 485,  21.3
Witikon, 10 127, 8 226, 1 901,  18.8
Kreis 8, 15 431, 11 035, 4 396,  28.5
Seefeld, 4 920, 3 405, 1 515,  30.8
Mühlebach, 5 567, 4 056, 1 511,  27.1
Weinegg, 4 944, 3 574, 1 370,  27.7
Kreis 9, 46 875, 31 796, 15 079,  32.2
Albisrieden, 17 527, 13 152, 4 375,  25.0
Altstetten, 29 348, 18 644, 10 704,  36.5
Kreis 10, 36 474, 27 422, 9 052,  24.8
Höngg, 21 075, 16 758, 4 317,  20.5
Wipkingen, 15 399, 10 664, 4 735,  30.7
Kreis 11, 63 092, 41 732, 21 360,  33.9
Affoltern, 20 948, 14 285, 6 663,  31.8
Oerlikon, 20 754, 13 675, 7 079,  34.1
Seebach, 21 390, 13 772, 7 618,  35.6
Kreis 12, 28 991, 18 220, 10 771,  37.2
Saatlen, 6 842, 4 629, 2 213,  32.3
Schwamendingen-Mitte, 10 806, 6 479, 4 327,  40.0
Hirzenbach, 11 343, 7 112, 4 231,  37.3
