T_6,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2014,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 404 783, 275 649, 129 134,  31.9
Kreis 1, 5 616, 3 976, 1 640,  29.2
Rathaus, 3 236, 2 276,  960,  29.7
Hochschulen,  634,  445,  189,  29.8
Lindenhof,  955,  693,  262,  27.4
City,  791,  562,  229,  29.0
Kreis 2, 31 156, 22 163, 8 993,  28.9
Wollishofen, 16 137, 11 847, 4 290,  26.6
Leimbach, 5 936, 4 278, 1 658,  27.9
Enge, 9 083, 6 038, 3 045,  33.5
Kreis 3, 48 808, 34 203, 14 605,  29.9
Alt-Wiedikon, 16 918, 11 137, 5 781,  34.2
Friesenberg, 10 695, 8 579, 2 116,  19.8
Sihlfeld, 21 195, 14 487, 6 708,  31.6
Kreis 4, 28 645, 17 424, 11 221,  39.2
Werd, 4 428, 2 858, 1 570,  35.5
Langstrasse, 10 985, 6 612, 4 373,  39.8
Hard, 13 232, 7 954, 5 278,  39.9
Kreis 5, 14 143, 9 528, 4 615,  32.6
Gewerbeschule, 9 539, 6 348, 3 191,  33.5
Escher Wyss, 4 604, 3 180, 1 424,  30.9
Kreis 6, 32 682, 23 361, 9 321,  28.5
Unterstrass, 22 126, 15 954, 6 172,  27.9
Oberstrass, 10 556, 7 407, 3 149,  29.8
Kreis 7, 36 556, 26 326, 10 230,  28.0
Fluntern, 7 865, 5 384, 2 481,  31.5
Hottingen, 10 882, 7 684, 3 198,  29.4
Hirslanden, 7 403, 5 364, 2 039,  27.5
Witikon, 10 406, 7 894, 2 512,  24.1
Kreis 8, 16 178, 10 664, 5 514,  34.1
Seefeld, 5 035, 3 137, 1 898,  37.7
Mühlebach, 6 107, 4 048, 2 059,  33.7
Weinegg, 5 036, 3 479, 1 557,  30.9
Kreis 9, 50 685, 34 621, 16 064,  31.7
Albisrieden, 19 199, 14 277, 4 922,  25.6
Altstetten, 31 486, 20 344, 11 142,  35.4
Kreis 10, 37 543, 27 897, 9 646,  25.7
Höngg, 21 826, 16 786, 5 040,  23.1
Wipkingen, 15 717, 11 111, 4 606,  29.3
Kreis 11, 72 228, 46 152, 26 076,  36.1
Affoltern, 25 902, 17 223, 8 679,  33.5
Oerlikon, 21 895, 13 778, 8 117,  37.1
Seebach, 24 431, 15 151, 9 280,  38.0
Kreis 12, 30 543, 19 334, 11 209,  36.7
Saatlen, 7 563, 5 216, 2 347,  31.0
Schwamendingen-Mitte, 11 301, 6 647, 4 654,  41.2
Hirzenbach, 11 679, 7 471, 4 208,  36.0
