T_2,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2018,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 428 737, 290 349, 138 388,  32.3
Kreis 1, 5 750, 3 992, 1 758,  30.6
Rathaus, 3 267, 2 284,  983,  30.1
Hochschulen,  664,  436,  228,  34.3
Lindenhof,  990,  692,  298,  30.1
City,  829,  580,  249,  30.0
Kreis 2, 34 877, 23 716, 11 161,  32.0
Wollishofen, 18 923, 13 420, 5 503,  29.1
Leimbach, 6 320, 4 197, 2 123,  33.6
Enge, 9 634, 6 099, 3 535,  36.7
Kreis 3, 50 569, 35 548, 15 021,  29.7
Alt-Wiedikon, 17 956, 11 705, 6 251,  34.8
Friesenberg, 10 933, 8 936, 1 997,  18.3
Sihlfeld, 21 680, 14 907, 6 773,  31.2
Kreis 4, 28 729, 18 110, 10 619,  37.0
Werd, 4 455, 2 974, 1 481,  33.2
Langstrasse, 11 111, 6 901, 4 210,  37.9
Hard, 13 163, 8 235, 4 928,  37.4
Kreis 5, 15 579, 10 556, 5 023,  32.2
Gewerbeschule, 9 513, 6 505, 3 008,  31.6
Escher Wyss, 6 066, 4 051, 2 015,  33.2
Kreis 6, 34 321, 24 542, 9 779,  28.5
Unterstrass, 23 394, 16 886, 6 508,  27.8
Oberstrass, 10 927, 7 656, 3 271,  29.9
Kreis 7, 38 191, 27 350, 10 841,  28.4
Fluntern, 8 485, 5 884, 2 601,  30.7
Hottingen, 11 265, 7 930, 3 335,  29.6
Hirslanden, 7 488, 5 426, 2 062,  27.5
Witikon, 10 953, 8 110, 2 843,  26.0
Kreis 8, 16 788, 10 729, 6 059,  36.1
Seefeld, 5 253, 3 124, 2 129,  40.5
Mühlebach, 6 315, 4 089, 2 226,  35.2
Weinegg, 5 220, 3 516, 1 704,  32.6
Kreis 9, 55 765, 37 723, 18 042,  32.4
Albisrieden, 22 304, 16 264, 6 040,  27.1
Altstetten, 33 461, 21 459, 12 002,  35.9
Kreis 10, 40 341, 29 691, 10 650,  26.4
Höngg, 24 020, 17 985, 6 035,  25.1
Wipkingen, 16 321, 11 706, 4 615,  28.3
Kreis 11, 75 344, 47 624, 27 720,  36.8
Affoltern, 26 562, 17 790, 8 772,  33.0
Oerlikon, 23 214, 14 320, 8 894,  38.3
Seebach, 25 568, 15 514, 10 054,  39.3
Kreis 12, 32 483, 20 768, 11 715,  36.1
Saatlen, 8 582, 6 114, 2 468,  28.8
Schwamendingen-Mitte, 11 100, 6 424, 4 676,  42.1
Hirzenbach, 12 801, 8 230, 4 571,  35.7
