T_18,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
2002,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 364 558, 255 757, 108 801,  29.8
Kreis 1, 5 715, 4 478, 1 237,  21.6
Rathaus, 3 128, 2 475,  653,  20.9
Hochschulen,  727,  540,  187,  25.7
Lindenhof,  950,  781,  169,  17.8
City,  910,  682,  228,  25.1
Kreis 2, 28 731, 22 057, 6 674,  23.2
Wollishofen, 15 771, 12 170, 3 601,  22.8
Leimbach, 4 681, 3 626, 1 055,  22.5
Enge, 8 279, 6 261, 2 018,  24.4
Kreis 3, 45 730, 30 770, 14 960,  32.7
Alt-Wiedikon, 14 811, 9 876, 4 935,  33.3
Friesenberg, 10 188, 7 826, 2 362,  23.2
Sihlfeld, 20 731, 13 068, 7 663,  37.0
Kreis 4, 27 153, 15 314, 11 839,  43.6
Werd, 3 850, 2 534, 1 316,  34.2
Langstrasse, 10 447, 6 082, 4 365,  41.8
Hard, 12 856, 6 698, 6 158,  47.9
Kreis 5, 12 416, 7 566, 4 850,  39.1
Gewerbeschule, 9 900, 5 748, 4 152,  41.9
Escher Wyss, 2 516, 1 818,  698,  27.7
Kreis 6, 29 588, 22 863, 6 725,  22.7
Unterstrass, 19 863, 15 334, 4 529,  22.8
Oberstrass, 9 725, 7 529, 2 196,  22.6
Kreis 7, 33 442, 27 081, 6 361,  19.0
Fluntern, 7 069, 5 527, 1 542,  21.8
Hottingen, 10 021, 7 969, 2 052,  20.5
Hirslanden, 6 781, 5 562, 1 219,  18.0
Witikon, 9 571, 8 023, 1 548,  16.2
Kreis 8, 15 348, 11 500, 3 848,  25.1
Seefeld, 5 122, 3 711, 1 411,  27.5
Mühlebach, 5 450, 4 285, 1 165,  21.4
Weinegg, 4 776, 3 504, 1 272,  26.6
Kreis 9, 45 445, 30 555, 14 890,  32.8
Albisrieden, 16 669, 12 648, 4 021,  24.1
Altstetten, 28 776, 17 907, 10 869,  37.8
Kreis 10, 36 065, 27 189, 8 876,  24.6
Höngg, 20 570, 16 638, 3 932,  19.1
Wipkingen, 15 495, 10 551, 4 944,  31.9
Kreis 11, 56 455, 37 979, 18 476,  32.7
Affoltern, 18 705, 13 063, 5 642,  30.2
Oerlikon, 18 778, 12 571, 6 207,  33.1
Seebach, 18 972, 12 345, 6 627,  34.9
Kreis 12, 28 470, 18 405, 10 065,  35.4
Saatlen, 6 663, 4 659, 2 004,  30.1
Schwamendingen-Mitte, 10 373, 6 312, 4 061,  39.1
Hirzenbach, 11 434, 7 434, 4 000,  35.0
